symbol,timestamp,open,high,low,close,volume,trade_count,vwap,rsi,label
AAPL,2024-08-02 04:00:00+00:00,219.15,225.6,217.71,219.86,105568560.0,1132553.0,222.251583,50.79312078505717,2
AAPL,2024-08-05 04:00:00+00:00,199.09,213.5,196.0,209.27,119548589.0,1661550.0,208.116338,38.02011162227132,0
AAPL,2024-08-06 04:00:00+00:00,205.3,209.99,201.07,207.23,69660488.0,921953.0,206.571553,36.13500740387626,0
AAPL,2024-08-07 04:00:00+00:00,206.9,213.64,206.39,209.82,63516417.0,741724.0,211.033883,40.18965020122493,0
AAPL,2024-08-08 04:00:00+00:00,213.11,214.2,208.83,213.31,47161149.0,628773.0,212.581208,45.23512648538314,0
AAPL,2024-08-09 04:00:00+00:00,212.1,216.78,211.97,216.24,42201646.0,589469.0,215.217661,49.11603702262672,0
AAPL,2024-08-12 04:00:00+00:00,216.07,219.5099,215.6,217.53,38028092.0,602530.0,217.546317,50.77015611492742,0
AAPL,2024-08-13 04:00:00+00:00,219.01,221.89,219.01,221.27,44155331.0,553265.0,220.993659,55.30641293222709,0
AAPL,2024-08-14 04:00:00+00:00,220.57,223.03,219.7,221.72,41960574.0,568519.0,221.499308,55.8337463963072,0
AAPL,2024-08-15 04:00:00+00:00,224.6,225.35,222.76,224.72,46414013.0,590575.0,224.55366,59.282884238832494,1
AAPL,2024-08-16 04:00:00+00:00,223.92,226.8271,223.6501,226.05,44340240.0,562638.0,225.429357,60.74645570896103,1
AAPL,2024-08-19 04:00:00+00:00,225.72,225.99,223.04,225.89,40687813.0,606363.0,224.830286,60.464881314940094,1
AAPL,2024-08-20 04:00:00+00:00,225.77,227.17,225.45,226.51,30299033.0,498797.0,226.54141,61.21510576866736,1
AAPL,2024-08-21 04:00:00+00:00,226.52,227.98,225.05,226.4,34765480.0,506656.0,226.450135,60.99395896264455,1
AAPL,2024-08-22 04:00:00+00:00,227.79,228.34,223.9,224.53,43695321.0,586190.0,225.65207,57.21015362237069,0
AAPL,2024-08-23 04:00:00+00:00,225.6589,228.22,224.33,226.84,38677250.0,555154.0,226.570678,60.47226613545486,1
AAPL,2024-08-26 04:00:00+00:00,226.76,227.28,223.8905,227.18,30602208.0,565404.0,226.032558,60.94421527393371,0
AAPL,2024-08-27 04:00:00+00:00,225.995,228.85,224.89,228.03,35934559.0,491852.0,227.74689,62.16057627279509,1
AAPL,2024-08-28 04:00:00+00:00,227.92,229.86,225.68,226.49,38052167.0,563160.0,227.474363,58.59968372435535,2
AAPL,2024-08-29 04:00:00+00:00,230.1,232.92,228.88,229.79,51906297.0,723145.0,231.008651,63.4336473934759,2
AAPL,2024-08-30 04:00:00+00:00,230.19,230.4,227.48,229.0,52990770.0,594158.0,228.898421,61.57995807749017,2
AAPL,2024-09-03 04:00:00+00:00,228.55,229.0,221.17,222.77,50190574.0,813604.0,223.749584,49.33588698957954,1
AAPL,2024-09-04 04:00:00+00:00,221.66,221.78,217.48,220.85,43840196.0,679980.0,219.920973,46.281713200752,1
AAPL,2024-09-05 04:00:00+00:00,221.625,225.48,221.52,222.38,36615398.0,588073.0,223.192809,48.99157773554457,2
AAPL,2024-09-06 04:00:00+00:00,223.95,225.24,219.77,220.82,48423011.0,663965.0,221.704436,46.42028747851152,1
AAPL,2024-09-09 04:00:00+00:00,220.82,221.27,216.71,220.91,67179965.0,945464.0,219.298998,46.59443559515207,1
AAPL,2024-09-10 04:00:00+00:00,218.92,221.48,216.73,220.11,51591033.0,684935.0,219.536157,45.188458987019374,0
AAPL,2024-09-11 04:00:00+00:00,221.455,223.09,217.89,222.66,44587072.0,609494.0,221.190116,50.33300226652858,2
AAPL,2024-09-12 04:00:00+00:00,222.5,223.55,219.82,222.77,37498225.0,556917.0,222.389637,50.5486229363116,2
AAPL,2024-09-13 04:00:00+00:00,223.58,224.04,221.91,222.5,36766619.0,541883.0,222.922817,49.97512464209817,1
